rowname	TASseq	SmartSeq2	TenXv2	TenXv3
1	TGFb	TGFb	TGFb	TGFb	TGFb
2	BMP	BMP	BMP	0	BMP
3	WNT	WNT	WNT	0	0
4	ncWNT	ncWNT	ncWNT	ncWNT	0
5	FGF	FGF	FGF	FGF	0
6	PDGF	PDGF	PDGF	PDGF	PDGF
7	VEGF	VEGF	VEGF	VEGF	VEGF
8	IGF	IGF	IGF	IGF	0
9	CCL	CCL	CCL	CCL	CCL
10	CXCL	CXCL	CXCL	CXCL	CXCL
11	MIF	MIF	MIF	MIF	0
12	CX3C	CX3C	CX3C	CX3C	0
13	IL4	IL4	0	0	0
14	IL6	IL6	0	0	0
15	IL12	IL12	IL12	0	0
16	OSM	OSM	OSM	OSM	0
17	IL1	IL1	IL1	IL1	IL1
18	CSF	CSF	CSF	CSF	0
19	TNF	TNF	0	0	0
20	LT	LT	LT	LT	0
21	FASLG	FASLG	FASLG	0	0
22	RANKL	RANKL	0	0	0
23	TWEAK	TWEAK	TWEAK	0	0
24	CD40	CD40	0	0	0
25	SPP1	SPP1	SPP1	SPP1	SPP1
26	VISFATIN	VISFATIN	VISFATIN	VISFATIN	0
27	ANGPTL	ANGPTL	ANGPTL	ANGPTL	0
28	ANGPT	ANGPT	ANGPT	0	ANGPT
29	PERIOSTIN	PERIOSTIN	PERIOSTIN	PERIOSTIN	0
30	COMPLEMENT	COMPLEMENT	COMPLEMENT	COMPLEMENT	COMPLEMENT
31	EDN	EDN	EDN	0	0
32	PARs	PARs	PARs	PARs	PARs
33	KIT	KIT	KIT	0	KIT
34	FLT3	FLT3	FLT3	FLT3	0
35	SEMA3	SEMA3	SEMA3	SEMA3	SEMA3
36	ANNEXIN	ANNEXIN	0	ANNEXIN	0
37	CALCR	CALCR	0	0	0
38	GAS	GAS	GAS	GAS	GAS
39	GRN	GRN	GRN	GRN	GRN
40	GALECTIN	GALECTIN	GALECTIN	GALECTIN	0
41	PROS	PROS	PROS	PROS	PROS
42	CHEMERIN	CHEMERIN	CHEMERIN	CHEMERIN	0
43	COLLAGEN	COLLAGEN	COLLAGEN	COLLAGEN	COLLAGEN
44	FN1	FN1	FN1	FN1	FN1
45	LAMININ	LAMININ	LAMININ	LAMININ	LAMININ
46	THBS	THBS	THBS	THBS	THBS
47	VTN	VTN	VTN	VTN	0
48	TENASCIN	TENASCIN	TENASCIN	TENASCIN	TENASCIN
49	NPNT	NPNT	0	0	NPNT
50	VWF	VWF	VWF	VWF	0
51	AGRN	AGRN	0	0	0
52	HSPG	HSPG	HSPG	0	0
53	ADGRE5	ADGRE5	0	0	0
54	ANXA1	ANXA1	0	0	0
55	APP	APP	APP	APP	APP
56	BST2	BST2	BST2	0	0
57	CADM	CADM	CADM	CADM	CADM
58	CD200	CD200	0	CD200	0
59	CD22	CD22	CD22	CD22	0
60	CD23	CD23	CD23	0	0
61	CD45	CD45	CD45	CD45	CD45
62	CD52	CD52	CD52	0	0
63	CD80	CD80	0	0	0
64	CD86	CD86	CD86	CD86	CD86
65	CDH	CDH	CDH	CDH	CDH
66	CDH1	CDH1	CDH1	CDH1	CDH1
67	CDH5	CDH5	CDH5	CDH5	CDH5
68	CEACAM	CEACAM	CEACAM	CEACAM	CEACAM
69	CLEC	CLEC	CLEC	CLEC	0
70	CNTN	CNTN	0	0	0
71	CSPG4	CSPG4	CSPG4	0	0
72	EPHA	EPHA	0	0	0
73	EPHB	EPHB	EPHB	EPHB	0
74	ESAM	ESAM	ESAM	ESAM	ESAM
75	ICAM	ICAM	ICAM	ICAM	ICAM
76	ICOS	ICOS	ICOS	ICOS	0
77	ITGAL-ITGB2	ITGAL-ITGB2	ITGAL-ITGB2	ITGAL-ITGB2	ITGAL-ITGB2
78	JAM	JAM	JAM	JAM	JAM
79	L1CAM	L1CAM	0	L1CAM	0
80	LAIR1	LAIR1	LAIR1	0	0
81	LCK	LCK	LCK	LCK	0
82	MHC-I	MHC-I	MHC-I	MHC-I	0
83	MHC-II	MHC-II	MHC-II	0	0
84	MPZ	MPZ	MPZ	MPZ	0
85	NECTIN	NECTIN	0	0	0
86	NOTCH	NOTCH	NOTCH	NOTCH	0
87	OCLN	OCLN	OCLN	OCLN	0
88	PD-L1	PD-L1	0	0	0
89	PECAM1	PECAM1	PECAM1	PECAM1	PECAM1
90	PTPRM	PTPRM	PTPRM	0	PTPRM
91	SELL	SELL	SELL	SELL	SELL
92	SELPLG	SELPLG	SELPLG	SELPLG	SELPLG
93	SEMA4	SEMA4	SEMA4	SEMA4	SEMA4
94	SEMA5	SEMA5	0	0	0
95	SEMA6	SEMA6	SEMA6	0	SEMA6
96	SEMA7	SEMA7	SEMA7	SEMA7	0
97	SN	SN	0	0	0
98	THY1	THY1	THY1	THY1	THY1
99	VCAM	VCAM	VCAM	VCAM	0
100	VISTA	VISTA	0	0	0
101	EGF	0	EGF	0	EGF
102	IL16	0	IL16	0	0
103	BAFF	0	BAFF	BAFF	0
104	HGF	0	HGF	0	0
105	RELN	0	RELN	0	RELN
106	ALCAM	0	ALCAM	0	ALCAM
107	CD39	0	CD39	0	0
108	CD6	0	CD6	0	CD6
109	PVR	0	PVR	0	0
110	TIGIT	0	TIGIT	0	0
111	IL2	0	0	IL2	0
