orig.ident	nReads	nGene	celltype
TASSeq.deep-1_113	TASSeq.deep-1	191854	5012	FB_alveolar
TASSeq.deep-1_283	TASSeq.deep-1	110971	3801	doublet
TASSeq.deep-1_323	TASSeq.deep-1	35390	1648	Endo_capillary
TASSeq.deep-1_574	TASSeq.deep-1	82791	3577	Bcell
TASSeq.deep-1_618	TASSeq.deep-1	61210	3187	FB_alveolar
TASSeq.deep-1_621	TASSeq.deep-1	313264	7459	Mac_AM
TASSeq.deep-1_642	TASSeq.deep-1	359444	7117	Epi_AT2
TASSeq.deep-1_714	TASSeq.deep-1	152954	4539	FB_alveolar
TASSeq.deep-1_943	TASSeq.deep-1	69976	3019	Endo_aerocyte
TASSeq.deep-1_985	TASSeq.deep-1	97087	3388	Endo_capillary
TASSeq.deep-1_997	TASSeq.deep-1	97197	3712	Endo_capillary
TASSeq.deep-1_1147	TASSeq.deep-1	36874	1346	Endo_capillary
TASSeq.deep-1_1195	TASSeq.deep-1	356520	6871	FB_alveolar
TASSeq.deep-1_1380	TASSeq.deep-1	55513	2924	Pericyte
TASSeq.deep-1_1868	TASSeq.deep-1	273757	7011	Bcell
TASSeq.deep-1_2026	TASSeq.deep-1	104881	4097	Bcell
TASSeq.deep-1_2055	TASSeq.deep-1	173249	4844	Endo_aerocyte
TASSeq.deep-1_2166	TASSeq.deep-1	235949	6255	Mo_Ly6Chi
TASSeq.deep-1_2300	TASSeq.deep-1	448750	8556	Mo_Ly6Chi
TASSeq.deep-1_2316	TASSeq.deep-1	35926	2387	FB_alveolar
TASSeq.deep-1_2420	TASSeq.deep-1	88827	3146	Endo_capillary
TASSeq.deep-1_2480	TASSeq.deep-1	134933	4652	Tcell_CD4T
TASSeq.deep-1_2574	TASSeq.deep-1	114752	3616	FB_alveolar
TASSeq.deep-1_2588	TASSeq.deep-1	251600	5719	FB_alveolar
TASSeq.deep-1_3333	TASSeq.deep-1	404220	7206	Epi_AT2
TASSeq.deep-1_3782	TASSeq.deep-1	357992	8502	Epi_ciliated
TASSeq.deep-1_3788	TASSeq.deep-1	268613	6416	doublet
TASSeq.deep-1_3854	TASSeq.deep-1	165746	4722	Endo_capillary
TASSeq.deep-1_3957	TASSeq.deep-1	117323	4155	Epi_ciliated
TASSeq.deep-1_4122	TASSeq.deep-1	94323	4238	Tcell_CD8T
TASSeq.deep-1_4213	TASSeq.deep-1	156382	3623	Epi_AT2
TASSeq.deep-1_4354	TASSeq.deep-1	114222	4855	Bcell
TASSeq.deep-1_4580	TASSeq.deep-1	200851	6022	Mo_Ly6Chi
TASSeq.deep-1_4693	TASSeq.deep-1	546863	8990	Mac_AM
TASSeq.deep-1_4882	TASSeq.deep-1	168693	5006	FB_alveolar
TASSeq.deep-1_4965	TASSeq.deep-1	113095	4468	FB_alveolar
TASSeq.deep-1_5132	TASSeq.deep-1	364690	7340	Mac_AM
TASSeq.deep-1_5228	TASSeq.deep-1	721067	9919	Mac_AM
