orig.ident	nReads	nGene	celltype
lung_SmartSeq2_Smart-seq2_A7.MAA000526.3_9_M.1.1	Smart-seq2	219181	652	Endo_capillary
lung_SmartSeq2_Smart-seq2_B12.MAA000526.3_9_M.1.1	Smart-seq2	1376754	3347	FB_adventitial
lung_SmartSeq2_Smart-seq2_D4.MAA000526.3_9_M.1.1	Smart-seq2	817430	3097	Epi_AT2
lung_SmartSeq2_Smart-seq2_E11.MAA000526.3_9_M.1.1	Smart-seq2	1391755	3731	FB_adventitial
lung_SmartSeq2_Smart-seq2_G6.MAA000526.3_9_M.1.1	Smart-seq2	868949	2826	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_H14.MAA000526.3_9_M.1.1	Smart-seq2	1180459	3522	FB_adventitial
lung_SmartSeq2_Smart-seq2_J4.MAA000526.3_9_M.1.1	Smart-seq2	1362422	4616	Epi_AT2
lung_SmartSeq2_Smart-seq2_K21.MAA000526.3_9_M.1.1	Smart-seq2	447609	1593	Bcell
lung_SmartSeq2_Smart-seq2_M10.MAA000526.3_9_M.1.1	Smart-seq2	1415928	3390	FB_adventitial
lung_SmartSeq2_Smart-seq2_A8.MAA000526.3_9_M.1.1	Smart-seq2	754888	2392	Endo_arterial
lung_SmartSeq2_Smart-seq2_B13.MAA000526.3_9_M.1.1	Smart-seq2	702410	2122	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_D6.MAA000526.3_9_M.1.1	Smart-seq2	569924	2840	Endo_venous
lung_SmartSeq2_Smart-seq2_E12.MAA000526.3_9_M.1.1	Smart-seq2	454336	2012	FB_alveolar
lung_SmartSeq2_Smart-seq2_G7.MAA000526.3_9_M.1.1	Smart-seq2	509326	1512	Endo_capillary
lung_SmartSeq2_Smart-seq2_O2.MAA000526.3_9_M.1.1	Smart-seq2	427826	1583	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_H19.MAA000526.3_9_M.1.1	Smart-seq2	69968	596	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_J5.MAA000526.3_9_M.1.1	Smart-seq2	563792	2780	Epi_AT2
lung_SmartSeq2_Smart-seq2_K22.MAA000526.3_9_M.1.1	Smart-seq2	402963	1164	Neutrophil
lung_SmartSeq2_Smart-seq2_P7.MAA000526.3_9_M.1.1	Smart-seq2	213668	1426	Endo_capillary
lung_SmartSeq2_Smart-seq2_M11.MAA000526.3_9_M.1.1	Smart-seq2	440204	2352	FB_adventitial
lung_SmartSeq2_Smart-seq2_B14.MAA000526.3_9_M.1.1	Smart-seq2	871477	3119	FB_adventitial
lung_SmartSeq2_Smart-seq2_D7.MAA000526.3_9_M.1.1	Smart-seq2	811890	2988	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_E13.MAA000526.3_9_M.1.1	Smart-seq2	996910	3450	FB_adventitial
lung_SmartSeq2_Smart-seq2_G8.MAA000526.3_9_M.1.1	Smart-seq2	663911	2243	Endo_LEC
lung_SmartSeq2_Smart-seq2_H20.MAA000526.3_9_M.1.1	Smart-seq2	439694	2005	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_J6.MAA000526.3_9_M.1.1	Smart-seq2	286710	1203	Endo_capillary
lung_SmartSeq2_Smart-seq2_L1.MAA000526.3_9_M.1.1	Smart-seq2	603445	2338	FB_alveolar
lung_SmartSeq2_Smart-seq2_M12.MAA000526.3_9_M.1.1	Smart-seq2	967676	3019	FB_adventitial
lung_SmartSeq2_Smart-seq2_O4.MAA000526.3_9_M.1.1	Smart-seq2	1202121	4204	Epi_AT2
lung_SmartSeq2_Smart-seq2_O3.MAA000526.3_9_M.1.1	Smart-seq2	445606	1968	Epi_AT2
lung_SmartSeq2_Smart-seq2_P9.MAA000526.3_9_M.1.1	Smart-seq2	463246	2343	Endo_LEC
lung_SmartSeq2_Smart-seq2_P8.MAA000526.3_9_M.1.1	Smart-seq2	356994	2354	Endo_arterial
lung_SmartSeq2_Smart-seq2_A9.MAA000526.3_9_M.1.1	Smart-seq2	354890	1415	Endo_LEC
lung_SmartSeq2_Smart-seq2_H22.MAA000526.3_9_M.1.1	Smart-seq2	674328	1264	Neutrophil
lung_SmartSeq2_Smart-seq2_J8.MAA000526.3_9_M.1.1	Smart-seq2	517616	1638	Endo_LEC
lung_SmartSeq2_Smart-seq2_L2.MAA000526.3_9_M.1.1	Smart-seq2	997617	2815	Endo_venous
lung_SmartSeq2_Smart-seq2_M13.MAA000526.3_9_M.1.1	Smart-seq2	775558	2576	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_O5.MAA000526.3_9_M.1.1	Smart-seq2	330820	2098	Epi_AT2
lung_SmartSeq2_Smart-seq2_P10.MAA000526.3_9_M.1.1	Smart-seq2	638264	3040	FB_adventitial
lung_SmartSeq2_Smart-seq2_A10.MAA000526.3_9_M.1.1	Smart-seq2	936959	3242	FB_adventitial
lung_SmartSeq2_Smart-seq2_B20.MAA000526.3_9_M.1.1	Smart-seq2	183048	1205	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_D8.MAA000526.3_9_M.1.1	Smart-seq2	680866	2765	Endo_arterial
lung_SmartSeq2_Smart-seq2_E14.MAA000526.3_9_M.1.1	Smart-seq2	853633	3088	FB_adventitial
lung_SmartSeq2_Smart-seq2_G9.MAA000526.3_9_M.1.1	Smart-seq2	504944	1716	Endo_LEC
lung_SmartSeq2_Smart-seq2_A11.MAA000526.3_9_M.1.1	Smart-seq2	1161905	3127	FB_adventitial
lung_SmartSeq2_Smart-seq2_O6.MAA000526.3_9_M.1.1	Smart-seq2	473916	1973	Endo_capillary
lung_SmartSeq2_Smart-seq2_P11.MAA000526.3_9_M.1.1	Smart-seq2	443102	1953	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_A12.MAA000526.3_9_M.1.1	Smart-seq2	1142438	3864	FB_adventitial
lung_SmartSeq2_Smart-seq2_C2.MAA000526.3_9_M.1.1	Smart-seq2	1609458	3780	FB_adventitial
lung_SmartSeq2_Smart-seq2_B21.MAA000526.3_9_M.1.1	Smart-seq2	652277	1859	Tcell_CD8T
lung_SmartSeq2_Smart-seq2_D10.MAA000526.3_9_M.1.1	Smart-seq2	1119156	3859	FB_adventitial
lung_SmartSeq2_Smart-seq2_F1.MAA000526.3_9_M.1.1	Smart-seq2	593560	1483	FB_alveolar
lung_SmartSeq2_Smart-seq2_G11.MAA000526.3_9_M.1.1	Smart-seq2	516464	1683	FB_alveolar
lung_SmartSeq2_Smart-seq2_D9.MAA000526.3_9_M.1.1	Smart-seq2	767639	2984	Endo_LEC
lung_SmartSeq2_Smart-seq2_E19.MAA000526.3_9_M.1.1	Smart-seq2	1289878	3133	Mo_Ly6Chi
